productNo	availability	warehouse	price	priceSpec	priceSpecQuantityFrom	product	description	manufacturer	range	EAN	size	gender	notes_top	notes_middle	notes_base	colour_shade	priceMoc	category_root	category
169064	1	01111001	471.55			18.21 Man Made Styling & Thickening Treatment - Sweet Tobacco 100 ml	Leave-in Hair treatment	18.21 Man Made	Sweet Tobacco	860003769201	100 ml	Female						Cosmetics	Leave-in Hair treatment			
169051	13	01111001	277.86			18.21 Man Made Styling Gel - Sweet Tobacco 100 ml	Styling Hair Gel	18.21 Man Made	Sweet Tobacco	850024571389	100 ml							Cosmetics	Styling Hair Gel			
131103	7	01111001	587.80			24 Elixir Neroli Eau De Parfum 100 ml (unisex)	Eau De Parfum	24	Elixir Neroli	3613042123124	100 ml	Unisex	Mint,Tonic,Bergamot,White Tea,Orange	Neroli,Ginger,Violet,Gardenia	Tonka Bean,Cedar,Musk			Perfumes	Eau De Parfum			
131104	45	01111001	614.10			24 Elixir Platinum Eau De Parfum 100 ml (unisex)	Eau De Parfum	24	Elixir Platinum	3613042122219	100 ml	Unisex	Lemon,Incense,Vermouth,Artemisia	Cedar,Amber,Apricot,Chamomile	Leather,Musk,Vanilla			Perfumes	Eau De Parfum			
131086	5	01111001	541.01			24 Elixir Rise Of The Superb Eau De Parfum 100 ml (unisex)	Eau De Parfum	24	Elixir Rise Of The Superb	3613042123346	100 ml	Unisex	Artemisia,Bergamot,Orange	Chilli Pepper,Geranium,Orange Blossom	Amber,Patchouli,Vetiver			Perfumes	Eau De Parfum			
131117	8	01111001	600.83			24 Gold Eau De Toilette 100 ml (unisex)	Eau De Toilette	24	Gold	3630929791016	100 ml	Unisex	Agarwood Oud,Guaiac (Gaiac) Wood,Jasmine	Sandalwood,Cedar,Anise	Vanilla,Amber,Ylang Ylang			Perfumes	Eau De Toilette			
90994	4	01111001	244.82			2K All About Beauty Train Case Complete Makeup Palette	Decorative cassette	2K	Beauty	4250979340072	1 pcs							Cosmetics	Make-up Set			
62440	37	01111000	145.44			4711 4711 Original Eau de Cologne - tester 90 ml (unisex)	Eau de Cologne - tester	4711	4711 Original	4011700740185	90 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne - tester			
178264	23	01111001	58.13			4711 4711 Original Eau de Cologne 20 ml (unisex)	Eau de Cologne	4711	4711 Original	4011700746569	20 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne			
167997	35	01111001	72.84			4711 4711 Original Eau de Cologne 25 ml (unisex)	Eau de Cologne	4711	4711 Original	4011700746576	25 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne			
